K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
6,48,2.0,1,5,5,0,0.897547981695,1.07245321058,0.845596549307
6,48,2.0,1,5,6,0,1,1.21611354813,0.909231054992
6,48,2.0,1,6,0,1,0.432177181418,0.569232900159,0.569232900159
6,48,2.0,1,6,1,1,0.539506372802,0.645126099206,0.645126099206
6,48,2.0,1,6,2,1,0.635726157139,0.717186607279,0.717186607279
6,48,2.0,1,6,3,0,0.726794617854,0.84597380624,0.781581733403
6,48,2.0,1,6,4,0,0.817863078569,0.966714667722,0.845596549307
6,48,2.0,1,6,5,0,0.908931539285,1.08855199211,0.909231054992
6,48,2.0,1,6,6,0,1,1.21611354813,0.972104940238
6,48,2.0,1,7,0,1,0.488551898888,0.645126099206,0.645126099206
6,48,2.0,1,7,1,1,0.590460846716,0.717186607279,0.717186607279
6,48,2.0,1,7,2,1,0.681260387496,0.781581733403,0.781581733403
6,48,2.0,1,7,3,0,0.760945290622,0.894270150833,0.845596549307
6,48,2.0,1,7,4,0,0.840630193748,0.998912230784,0.909231054992
6,48,2.0,1,7,5,0,0.920315096874,1.10465077364,0.972104940238
6,48,2.0,1,7,6,0,1,1.21611354813,1.03345758461
6,48,2.0,1,8,0,1,0.544926616358,0.717186607279,0.717186607279
6,48,2.0,1,8,1,1,0.635995077074,0.781581733403,0.781581733403
6,48,2.0,1,8,2,1,0.726525697919,0.845596549307,0.845596549307
6,48,2.0,1,8,3,0,0.79509596339,0.942566495426,0.909231054992
6,48,2.0,1,8,4,0,0.863397308927,1.03110979385,0.972104940238
6,48,2.0,1,8,5,0,0.931698654463,1.12074955517,1.03345758461
6,48,2.0,1,8,6,0,1,1.21611354813,1.09176774722
6,48,2.0,1,9,0,0,0.590460846716,0.749384170341,0.781581733403
6,48,2.0,1,9,1,1,0.681529307431,0.845596549307,0.845596549307
6,48,2.0,1,9,2,1,0.771522088406,0.909231054992,0.909231054992
6,48,2.0,1,9,3,0,0.829246636159,0.990862840019,0.972104940238
6,48,2.0,1,9,4,0,0.886164424106,1.06330735691,1.03345758461
6,48,2.0,1,9,5,0,0.943082212053,1.1368483367,1.09176774722
6,48,2.0,1,9,6,0,1,1.21611354813,1.14399294632
6,48,2.0,1,10,0,0,0.635995077074,0.781581733403,0.845596549307
6,48,2.0,1,10,1,1,0.727063537789,0.909231054992,0.909231054992
6,48,2.0,1,10,2,1,0.815980639023,0.972104940238,0.972104940238
6,48,2.0,1,10,3,0,0.863397308927,1.03915918461,1.03345758461
6,48,2.0,1,10,4,0,0.908931539285,1.09550491997,1.09176774722
6,48,2.0,1,10,5,0,0.954465769642,1.15294711823,1.14399294632
6,48,2.0,1,10,6,0,1,1.21611354813,1.18404821839
6,48,2.0,1,11,0,0,0.681529307431,0.84331468799,0.909231054992
6,48,2.0,1,11,1,1,0.772597768147,0.972104940238,0.972104940238
6,48,2.0,1,11,2,1,0.859363509899,1.03345758461,1.03345758461
6,48,2.0,1,11,3,0,0.897547981695,1.0874555292,1.09176774722
6,48,2.0,1,11,4,0,0.931698654463,1.12770248303,1.14399294632
6,48,2.0,1,11,5,0,0.965849327232,1.16904589976,1.18404821839
6,48,2.0,1,11,6,0,1,1.21611354813,1.21193356344
6,48,2.0,1,12,0,0,0.727063537789,0.904667332358,0.972104940238
6,48,2.0,1,12,1,1,0.818131998504,1.03345758461,1.03345758461
6,48,2.0,1,12,2,1,0.900595021294,1.09176774722,1.09176774722
6,48,2.0,1,12,3,0,0.931698654463,1.1357518738,1.14399294632
6,48,2.0,1,12,4,0,0.954465769642,1.15990004609,1.18404821839
6,48,2.0,1,12,5,0,0.977232884821,1.18514468129,1.21193356344
6,48,2.0,1,12,6,0,1,1.21611354813,1.21296407917
6,48,2.0,1,13,0,0,0.772597768147,0.962977494969,1.03345758461
6,48,2.0,1,13,1,1,0.863666228862,1.09176774722,1.09176774722
6,48,2.0,1,13,2,1,0.937523813726,1.14399294632,1.14399294632
6,48,2.0,1,13,3,1,0.965849327232,1.18404821839,1.18404821839
6,48,2.0,1,13,4,0,0.977232884821,1.19209760916,1.21193356344
6,48,2.0,1,13,5,0,0.988616442411,1.20124346283,1.21296407917
6,48,2.0,1,13,6,0,1,1.21611354813,1.21373696596
