dataset,method,p,seed,K,f_value
email_eu_core,degree_obs,0.3,10,1,334
email_eu_core,degree_obs,0.3,10,2,406
email_eu_core,degree_obs,0.3,10,3,441
email_eu_core,degree_obs,0.3,10,4,463
email_eu_core,degree_obs,0.3,10,5,507
email_eu_core,degree_obs,0.3,10,6,517
email_eu_core,degree_obs,0.3,10,7,552
email_eu_core,degree_obs,0.3,10,8,580
email_eu_core,degree_obs,0.3,10,9,609
email_eu_core,degree_obs,0.3,10,10,611
email_eu_core,degree_obs,0.3,10,11,615
email_eu_core,degree_obs,0.3,10,12,624
email_eu_core,degree_obs,0.3,10,13,629
email_eu_core,degree_obs,0.3,10,14,633
email_eu_core,degree_obs,0.3,10,15,636
email_eu_core,degree_obs,0.3,10,16,648
email_eu_core,degree_obs,0.3,10,17,660
email_eu_core,degree_obs,0.3,10,18,661
email_eu_core,degree_obs,0.3,10,19,664
email_eu_core,degree_obs,0.3,10,20,666
email_eu_core,degree_obs,0.3,10,21,691
email_eu_core,degree_obs,0.3,10,22,696
email_eu_core,degree_obs,0.3,10,23,703
email_eu_core,degree_obs,0.3,10,24,707
email_eu_core,degree_obs,0.3,10,25,711
email_eu_core,degree_obs,0.3,10,26,716
email_eu_core,degree_obs,0.3,10,27,721
email_eu_core,degree_obs,0.3,10,28,728
email_eu_core,degree_obs,0.3,10,29,735
email_eu_core,degree_obs,0.3,10,30,736
email_eu_core,degree_obs,0.3,11,1,334
email_eu_core,degree_obs,0.3,11,2,416
email_eu_core,degree_obs,0.3,11,3,441
email_eu_core,degree_obs,0.3,11,4,496
email_eu_core,degree_obs,0.3,11,5,507
email_eu_core,degree_obs,0.3,11,6,517
email_eu_core,degree_obs,0.3,11,7,529
email_eu_core,degree_obs,0.3,11,8,537
email_eu_core,degree_obs,0.3,11,9,550
email_eu_core,degree_obs,0.3,11,10,589
email_eu_core,degree_obs,0.3,11,11,617
email_eu_core,degree_obs,0.3,11,12,633
email_eu_core,degree_obs,0.3,11,13,638
email_eu_core,degree_obs,0.3,11,14,653
email_eu_core,degree_obs,0.3,11,15,657
email_eu_core,degree_obs,0.3,11,16,667
email_eu_core,degree_obs,0.3,11,17,673
email_eu_core,degree_obs,0.3,11,18,689
email_eu_core,degree_obs,0.3,11,19,697
email_eu_core,degree_obs,0.3,11,20,702
email_eu_core,degree_obs,0.3,11,21,714
email_eu_core,degree_obs,0.3,11,22,717
email_eu_core,degree_obs,0.3,11,23,718
email_eu_core,degree_obs,0.3,11,24,723
email_eu_core,degree_obs,0.3,11,25,731
email_eu_core,degree_obs,0.3,11,26,751
email_eu_core,degree_obs,0.3,11,27,753
email_eu_core,degree_obs,0.3,11,28,755
email_eu_core,degree_obs,0.3,11,29,756
email_eu_core,degree_obs,0.3,11,30,758
email_eu_core,degree_obs,0.3,12,1,334
email_eu_core,degree_obs,0.3,12,2,406
email_eu_core,degree_obs,0.3,12,3,441
