task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_facility,6,9,0.795243,92.6471,51.3923,26.98,0.010745,0.019301,2,0.333333
E3,business_facility,7,9,0.799165,92.6471,51.3923,31.43,0.010744,0.019297,3,0.428571
E3,business_coverage,3,10,0.782123,1,31.7559,30.00,0.703704,0.031161,1,0.333333
E3,business_coverage,4,10,0.650718,1,32.226,39.47,0.683594,0.030672,2,0.500000
E3,business_coverage,5,10,0.616670,1,32.226,44.44,0.672320,0.030648,3,0.600000
E3,business_coverage,6,10,0.758560,1,32.226,47.06,0.665102,0.030632,3,0.500000
E3,business_coverage,7,10,0.762152,1,32.226,50.00,0.660083,0.030621,4,0.571429
E3,business_diversity,3,10,0.671165,5.11594,29.9278,0.00,0.183008,0.033043,0,0.000000
E3,business_diversity,4,10,0.670157,5.11594,29.9278,13.16,0.181601,0.032997,0,0.000000
E3,business_diversity,5,10,0.670247,5.11594,29.9278,22.22,0.180770,0.032970,1,0.200000
E3,business_diversity,6,10,0.824277,5.11594,29.9278,27.45,0.180222,0.032952,1,0.166667
E3,business_diversity,7,10,0.827043,5.11594,29.9278,32.14,0.179834,0.032939,2,0.285714
E3,business_facility,3,10,0.342262,18.5336,21.4375,0.00,0.052991,0.045926,0,0.000000
E3,business_facility,4,10,0.337349,18.5336,22.7313,0.00,0.052874,0.043272,0,0.000000
E3,business_facility,5,10,0.367313,18.5336,22.7313,4.44,0.052804,0.043225,0,0.000000
E3,business_facility,6,10,0.375406,18.5336,22.7313,7.84,0.052757,0.043194,1,0.166667
E3,business_facility,7,10,0.525371,18.5336,22.7313,8.93,0.052724,0.043171,1,0.142857
E3,business_coverage,3,11,0.537041,7.3211,44.9389,9.09,0.130467,0.022088,1,0.333333
E3,business_coverage,4,11,0.466085,7.3211,44.9389,9.52,0.129753,0.022067,2,0.500000
E3,business_coverage,5,11,0.427807,7.3211,44.9389,10.00,0.129330,0.022055,3,0.600000
E3,business_coverage,6,11,0.558473,7.3211,44.9389,8.77,0.129050,0.022047,3,0.500000
E3,business_coverage,7,11,0.658399,7.3211,44.9389,11.11,0.128851,0.022041,3,0.428571
E3,business_diversity,3,11,0.765086,1.12512,25.7752,21.21,0.651478,0.038297,1,0.333333
E3,business_diversity,4,11,0.807453,1.12512,25.7752,28.57,0.634004,0.038236,1,0.250000
E3,business_diversity,5,11,0.754491,9.51191,25.7752,34.00,0.100802,0.038200,1,0.200000
E3,business_diversity,6,11,0.728414,9.51191,25.7752,38.60,0.100632,0.038175,2,0.333333
E3,business_diversity,7,11,0.813533,9.51191,25.7752,41.27,0.100511,0.038158,2,0.285714
E3,business_facility,3,11,0.505200,5.40757,47.019,6.06,0.173761,0.021118,1,0.333333
E3,business_facility,4,11,0.458333,21.4324,47.019,4.76,0.045848,0.021099,1,0.250000
E3,business_facility,5,11,0.424242,123.035,47.019,6.00,0.008101,0.021088,1,0.200000
E3,business_facility,6,11,0.457641,123.035,47.019,7.02,0.008100,0.021080,1,0.166667
E3,business_facility,7,11,0.562112,123.035,47.019,7.94,0.008100,0.021075,1,0.142857
E3,business_coverage,3,12,0.759494,4.31218,21.5239,2.56,0.214437,0.045744,0,0.000000
E3,business_coverage,4,12,0.631148,4.31218,33.8478,16.00,0.212503,0.029218,1,0.250000
E3,business_coverage,5,12,0.552518,4.31218,39.1362,23.33,0.211365,0.025292,2,0.400000
E3,business_coverage,6,12,0.495114,4.31218,39.1362,27.54,0.210616,0.025281,3,0.500000
E3,business_coverage,7,12,0.491850,4.31218,39.1362,29.87,0.210085,0.025274,4,0.571429
E3,business_diversity,3,12,0.470749,17.7885,34.1804,0.00,0.055169,0.028972,0,0.000000
E3,business_diversity,4,12,0.649371,17.7885,34.1804,0.00,0.055042,0.028937,0,0.000000
E3,business_diversity,5,12,0.575380,17.7885,34.1804,8.33,0.054966,0.028916,1,0.200000
E3,business_diversity,6,12,0.661710,17.7885,34.1804,13.04,0.054916,0.028902,1,0.166667
E3,business_diversity,7,12,0.753324,17.7885,34.1804,18.18,0.054880,0.028892,1,0.142857
E3,business_facility,3,12,0.709332,25.9001,36.0088,7.69,0.038115,0.027515,0,0.000000
E3,business_facility,4,12,0.615257,30.5097,39.9157,12.00,0.032376,0.024818,0,0.000000
E3,business_facility,5,12,0.550538,30.5097,39.9157,16.67,0.032350,0.024803,1,0.200000
E3,business_facility,6,12,0.514768,30.5097,39.9157,20.29,0.032332,0.024793,2,0.333333
E3,business_facility,7,12,0.497706,30.5097,39.9157,23.38,0.032320,0.024785,3,0.428571
E3,business_coverage,3,13,0.714266,2.56,11.4041,0.00,0.341970,0.085150,0,0.000000
E3,business_coverage,4,13,0.766334,2.56,17.1111,3.77,0.337039,0.057173,0,0.000000
E3,business_coverage,5,13,0.677657,2.56,17.8088,12.70,0.334175,0.054905,1,0.200000
E3,business_coverage,6,13,0.598592,2.56,18.3097,19.44,0.332303,0.053388,2,0.333333
E3,business_coverage,7,13,0.592870,2.56,18.3097,24.69,0.330984,0.053354,3,0.428571
E3,business_diversity,3,13,0.736771,6.03409,15.5581,0.00,0.156739,0.062908,0,0.000000
E3,business_diversity,4,13,0.819149,6.03409,23.5378,0.00,0.155707,0.041813,0,0.000000
E3,business_diversity,5,13,0.729891,6.03409,23.5378,9.23,0.155097,0.041769,1,0.200000
E3,business_diversity,6,13,0.748031,6.03409,24.226,16.00,0.154694,0.040575,1,0.166667
E3,business_diversity,7,13,0.731429,6.03409,24.226,21.43,0.154408,0.040555,2,0.285714
E3,business_facility,3,13,0.905099,1.62727,25.1404,7.14,0.497242,0.039252,0,0.000000
E3,business_facility,4,13,0.788102,7.27726,25.1404,12.96,0.130494,0.039187,0,0.000000
E3,business_facility,5,13,0.681977,7.27726,25.1404,20.00,0.130066,0.039149,1,0.200000
E3,business_facility,6,13,0.610442,7.27726,25.1404,21.33,0.129783,0.039123,2,0.333333
E3,business_facility,7,13,0.598910,7.27726,26.4837,25.00,0.129581,0.037153,3,0.428571
E3,business_coverage,3,14,0.857610,1.96923,25.7888,1.59,0.426705,0.038277,0,0.000000
E3,business_coverage,4,14,0.763462,4.33811,27.518,6.10,0.211343,0.035848,0,0.000000
E3,business_coverage,5,14,0.694950,10.4212,31.4439,13.00,0.092345,0.031401,0,0.000000
E3,business_coverage,6,14,0.637743,10.4212,31.4439,17.95,0.092202,0.031384,1,0.166667
E3,business_coverage,7,14,0.573276,10.4212,31.4439,21.05,0.092101,0.031372,2,0.285714
E3,business_diversity,3,14,0.529568,7.56566,26.6907,0.00,0.126438,0.037000,0,0.000000
E3,business_diversity,4,14,0.467260,13.6547,31.6332,0.00,0.071248,0.031240,0,0.000000
