task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,wine,2,24,1.000000,1,15.2426,26.09,0.750000,0.064530
E1,wine,3,24,0.971429,1,15.2426,23.33,0.703704,0.064181
E1,wine,4,24,0.971429,1,15.2426,24.24,0.683594,0.064009
E1,wine,5,24,0.970588,1,15.2426,23.08,0.672320,0.063906
E1,wine,6,24,1.000000,1,15.2426,22.73,0.665102,0.063838
E1,wine,7,24,1.000000,1,15.2426,21.74,0.660083,0.063790
E1,wine,1,25,1.000000,1,1.87706,46.15,1.000000,0.532747
E1,wine,2,25,1.000000,1,11.8609,36.36,0.750000,0.082534
E1,wine,3,25,0.914286,1,11.8609,29.03,0.703704,0.081964
E1,wine,4,25,0.916667,1,11.8609,31.58,0.683594,0.081682
E1,wine,5,25,0.916667,1,11.8609,33.33,0.672320,0.081515
E1,wine,6,25,0.916667,1,11.8609,29.79,0.665102,0.081404
E1,wine,7,25,0.944444,1,11.8609,33.33,0.660083,0.081325
E1,wine,1,26,1.000000,1,10.6862,7.69,1.000000,0.093579
E1,wine,2,26,1.000000,1,14.7672,24.00,0.750000,0.066571
E1,wine,3,26,1.000000,1,14.7672,21.21,0.703704,0.066200
E1,wine,4,26,1.000000,1,14.7672,18.92,0.683594,0.066017
E1,wine,5,26,1.000000,1,14.7672,19.51,0.672320,0.065908
E1,wine,6,26,1.000000,1,14.7672,17.78,0.665102,0.065835
E1,wine,7,26,0.888889,1,14.7672,15.38,0.660083,0.065784
E1,wine,1,27,1.000000,1,2.81875,16.67,1.000000,0.354767
E1,wine,2,27,1.000000,1,7.01754,16.67,0.750000,0.137423
E1,wine,3,27,0.971429,1,7.01754,18.75,0.703704,0.135838
E1,wine,4,27,0.944444,1,7.01754,17.65,0.683594,0.135064
E1,wine,5,27,0.944444,1,7.01754,15.79,0.672320,0.134606
E1,wine,6,27,0.971429,1,7.01754,14.63,0.665102,0.134302
E1,wine,7,27,0.944444,1,7.01754,12.77,0.660083,0.134087
E1,wine,1,28,0.892857,1.375,6.71875,7.69,0.727273,0.148837
E1,wine,2,28,0.800000,2.33333,19.0265,13.04,0.382653,0.051868
E1,wine,3,28,0.885714,2.33333,19.0265,15.38,0.370262,0.051643
E1,wine,4,28,0.861111,2.33333,19.0265,13.79,0.364482,0.051531
E1,wine,5,28,0.833333,2.33333,19.0265,12.90,0.361134,0.051465
E1,wine,6,28,0.833333,2.33333,19.0265,17.14,0.358950,0.051421
E1,wine,7,28,0.885714,2.33333,19.0265,30.95,0.357413,0.051389
E1,wine,1,29,0.956522,1.09091,2.5297,23.08,0.916667,0.395304
E1,wine,2,29,1.032258,1.1,3.56786,24.00,0.702479,0.260641
E1,wine,3,29,0.939394,1.1,5.74286,25.00,0.661435,0.164218
E1,wine,4,29,0.970588,1.1,5.74286,25.58,0.643463,0.163085
E1,wine,5,29,0.970588,1.1,5.74286,22.45,0.633352,0.162416
E1,wine,6,29,0.970588,1.1,5.74286,20.75,0.626866,0.161974
E1,wine,7,29,0.941176,1.1,5.74286,22.81,0.622351,0.161660
E1,digits20,1,0,0.858696,1.26,2.02766,0.00,0.793651,0.493179
E1,digits20,2,0,0.925620,1.27273,3.0775,3.03,0.631378,0.298543
E1,digits20,3,0,0.883212,2.66667,7.53256,6.52,0.330078,0.126969
E1,digits20,4,0,0.926380,2.66667,13.5381,13.11,0.325484,0.071844
E1,digits20,5,0,0.982759,2.66667,13.5381,14.67,0.322813,0.071715
E1,digits20,6,0,0.994709,2.66667,30.0313,17.05,0.321066,0.032840
E1,digits20,7,0,0.994845,2.66667,30.0313,21.57,0.319834,0.032827
E1,digits20,1,1,1.000000,1,4.67736,0.00,1.000000,0.213796
E1,digits20,2,1,0.962963,1.13889,6.43327,8.82,0.685306,0.149401
E1,digits20,3,1,0.973510,1.13889,6.43327,14.89,0.646131,0.147527
E1,digits20,4,1,0.930233,1.13889,10.1741,17.46,0.628923,0.094725
E1,digits20,5,1,1.022857,1.15789,10.1741,18.99,0.612525,0.094500
E1,digits20,6,1,0.963731,1.28571,10.1741,20.43,0.565265,0.094350
E1,digits20,7,1,1.014851,1.28571,10.1741,21.90,0.561538,0.094244
E1,digits20,1,2,0.861702,1.24528,2.18329,0.00,0.803030,0.458025
E1,digits20,2,2,0.856061,1.40625,7.9838,11.76,0.584691,0.121332
E1,digits20,3,2,0.967949,1.40625,16.143,22.45,0.555870,0.060676
E1,digits20,4,2,0.863636,19,21.5272,29.69,0.051602,0.045650
E1,digits20,5,2,0.866667,19,25.1395,27.50,0.051535,0.039150
E1,digits20,6,2,0.887805,19,25.1395,26.88,0.051491,0.039125
