n,K,tau,eta,defn,mode,status,min_delta,note
192,6,1,1.5,true,A_fixedFG,FEASIBLE-BAND,1.42108547e-14,leak_levels=0
192,6,1,1.5,true,B_fixedF,FEASIBLE,1.33226763e-15,delta_cc=1.33227e-15
192,6,1,1.5,ysmall,A_fixedFG,FEASIBLE-BAND,1.42108547e-14,leak_levels=0
192,6,1,1.5,ysmall,B_fixedF,FEASIBLE,1.33226763e-15,delta_cc=1.33227e-15
192,6,2,1.5,true,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=13
192,6,2,1.5,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
192,6,2,1.5,ysmall,A_fixedFG,LEAKS,1.42108547e-14,leak_levels=13
192,6,2,1.5,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
192,6,1,2.0,true,A_fixedFG,FEASIBLE-BAND,2.22044605e-14,leak_levels=0
192,6,1,2.0,true,B_fixedF,FEASIBLE,1.11022302e-15,delta_cc=1.11022e-15
192,6,1,2.0,ysmall,A_fixedFG,FEASIBLE-BAND,2.22044605e-14,leak_levels=0
192,6,1,2.0,ysmall,B_fixedF,FEASIBLE,1.11022302e-15,delta_cc=1.11022e-15
192,6,2,2.0,true,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=16
192,6,2,2.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
192,6,2,2.0,ysmall,A_fixedFG,LEAKS,2.22044605e-14,leak_levels=16
192,6,2,2.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
192,6,1,3.0,true,A_fixedFG,FEASIBLE-BAND,5.24025268e-14,leak_levels=0
192,6,1,3.0,true,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
192,6,1,3.0,ysmall,A_fixedFG,FEASIBLE-BAND,5.24025268e-14,leak_levels=0
192,6,1,3.0,ysmall,B_fixedF,FEASIBLE,1.77635684e-15,delta_cc=1.77636e-15
192,6,2,3.0,true,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=21
192,6,2,3.0,true,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
192,6,2,3.0,ysmall,A_fixedFG,LEAKS,5.24025268e-14,leak_levels=21
192,6,2,3.0,ysmall,B_fixedF,INFEASIBLE-ANY-DELTA,,cert_level=self-loop(len 1)
32,4,1,1.5,true,D_cap,SMAX=8,0.789025145,T=8 first_bad_smax=9
32,4,2,1.5,true,D_cap,SMAX=8,0.789025145,T=8 first_bad_smax=9
32,4,1,2.0,true,D_cap,SMAX=10,0.533328517,T=10 first_bad_smax=11
32,4,2,2.0,true,D_cap,SMAX=10,1.7,T=10 first_bad_smax=11
32,4,1,3.0,true,D_cap,SMAX=13,0.450966977,T=13 first_bad_smax=14
32,4,2,3.0,true,D_cap,SMAX=13,1.84004246,T=13 first_bad_smax=14
64,4,1,1.5,true,D_cap,SMAX=36,6.66133815e-16,T=8 first_bad_smax=None
64,4,2,1.5,true,D_cap,SMAX=8,0.789025145,T=8 first_bad_smax=9
64,4,1,2.0,true,D_cap,SMAX=42,4.4408921e-16,T=10 first_bad_smax=None
64,4,2,2.0,true,D_cap,SMAX=10,0.815789474,T=10 first_bad_smax=11
64,4,1,3.0,true,D_cap,SMAX=51,1.77635684e-15,T=13 first_bad_smax=None
64,4,2,3.0,true,D_cap,SMAX=13,0.918549759,T=13 first_bad_smax=14
128,4,1,1.5,true,D_cap,SMAX=36,6.66133815e-16,T=8 first_bad_smax=None
128,4,2,1.5,true,D_cap,SMAX=8,0.789025145,T=8 first_bad_smax=9
128,4,1,2.0,true,D_cap,SMAX=42,4.4408921e-16,T=10 first_bad_smax=None
128,4,2,2.0,true,D_cap,SMAX=10,0.815789474,T=10 first_bad_smax=11
128,4,1,3.0,true,D_cap,SMAX=51,1.77635684e-15,T=13 first_bad_smax=None
128,4,2,3.0,true,D_cap,SMAX=13,0.918549759,T=13 first_bad_smax=14
