dataset,p,seed,K,eta_sel_csv,eta_sel_fixedk,LK_csv,LK_fixedk,is_inf,n_steps_nonpos_csv,n_zero_steps_replay,n_harmful_zero_replay,n_benign_zero_replay,eta_sel_changed,LK_changed
facebook_government,0.5,0,19,1.95833,inf,0.404066,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,20,3.48148,inf,0.251225,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,21,3.48148,inf,0.251150,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,22,3.48148,inf,0.251082,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,23,3.48148,inf,0.251020,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,24,4.29412,inf,0.208649,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,25,4.29412,inf,0.208613,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,26,4.29412,inf,0.208580,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,27,4.29412,inf,0.208549,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,28,4.29412,inf,0.208520,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,29,4.29412,inf,0.208493,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,0,30,4.29412,inf,0.208468,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
facebook_government,0.5,1,2,1,1,0.750000,0.750000,0,0,0,0,0,0,0
facebook_government,0.5,1,3,1,1,0.703704,0.703704,0,0,0,0,0,0,0
facebook_government,0.5,1,4,1.84615,1.84615,0.441237,0.441237,0,0,0,0,0,0,0
facebook_government,0.5,1,5,1.84615,1.84615,0.436346,0.436346,0,0,0,0,0,0,0
facebook_government,0.5,1,6,1.84615,1.84615,0.433170,0.433170,0,0,0,0,0,0,0
facebook_government,0.5,1,7,1.84615,1.84615,0.430941,0.430941,0,0,0,0,0,0,0
facebook_government,0.5,1,8,1.84615,1.84615,0.429291,0.429291,0,0,0,0,0,0,0
facebook_government,0.5,1,9,2.55319,2.55319,0.329978,0.329978,0,0,0,0,0,0,0
facebook_government,0.5,1,10,2.55319,2.55319,0.329374,0.329374,0,0,0,0,0,0,0
facebook_government,0.5,1,11,2.55319,2.55319,0.328882,0.328882,0,0,0,0,0,0,0
facebook_government,0.5,1,12,2.55319,2.55319,0.328473,0.328473,0,0,0,0,0,0,0
facebook_government,0.5,1,13,2.55319,2.55319,0.328128,0.328128,0,0,0,0,0,0,0
facebook_government,0.5,1,14,2.55319,2.55319,0.327834,0.327834,0,0,0,0,0,0,0
facebook_government,0.5,1,15,2.55319,inf,0.327579,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,16,2.55319,inf,0.327357,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,17,2.55319,inf,0.327161,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,18,5.15789,inf,0.177107,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,19,5.15789,inf,0.177061,0.000000,1,1,1,1,0,1,1
facebook_government,0.5,1,20,5.15789,inf,0.177020,0.000000,1,1,1,1,0,1,1
